S_curve_1,S_curve_2,S_curve_3,S_curve_4,S_curve_5,S_curve_6,S_curve_7,S_curve_8,S_curve_9,S_curve_10,S_curve_11,S_curve_12,S_curve_13,S_curve_14,S_curve_15,S_curve_16,S_curve_17,S_curve_18,S_curve_19,S_curve_20,S_curve_21,S_curve_22,S_curve_23,S_curve_24,S_curve_25,S_curve_26,S_curve_27,S_curve_28,S_curve_29,S_curve_30
0.00010078943575953638,0.000501150121332692,5.981094026381196e-09,2.609090026867699e-05,4.886684773607399e-09,2.64546072962128e-10,0.0001211755017552259,3.512250117692223e-08,0.004670058217636664,0.006248685924563214,0.00030163267662383804,0.0003097537019296564,2.0175435490543948e-05,3.4097574171731026e-07,9.498905489328447e-06,0.014771358374249376,0.0025149252305115095,0.001803489637371498,5.07803856765599e-07,2.210505681675812e-07,6.0569464199498985e-09,1.3037428585243123e-10,6.008794853913965e-08,4.6416781461126804e-05,0.002008487639251153,9.471891733717162e-08,6.259325132041036e-12,0.0011787758994126136,0.017624235005926633,1.62471458204249e-05
0.00010525601682131128,0.0005275212797736504,6.362225528863943e-09,2.7200826335880232e-05,5.197280306494923e-09,2.8375299782757577e-10,0.00012466425123173704,3.79801384389081e-08,0.004882344560355563,0.006435782874517541,0.0003086864199879561,0.0003175027713035449,2.112561818281673e-05,3.6849178742931644e-07,1.0153671855238104e-05,0.015081382036738452,0.002587383314756341,0.001846052005860786,5.285703497053556e-07,2.3320181554390518e-07,6.419495977297202e-09,1.409956443715921e-10,6.368723233101505e-08,4.950953121468215e-05,0.0020916651331532674,1.006179092317398e-07,6.770560442682503e-12,0.0012127083066832516,0.01808872386247471,1.700872960718607e-05
0.00010992051697111027,0.0005552793512611174,6.767643762262633e-09,2.8357968134463398e-05,5.5276171546064955e-09,3.0435440932646337e-10,0.00012825343199612444,4.107027880039054e-08,0.005104231294601848,0.006628444479123996,0.00031590506449379106,0.0003254456350609966,2.2120549707264112e-05,3.982283209282261e-07,1.0853571246340191e-05,0.015397810833045839,0.0026619234343283706,0.0018896169450573089,5.501860819449018e-07,2.4602102219171577e-07,6.803746598435551e-09,1.5248230586087324e-10,6.750211414636997e-08,5.28083399752709e-05,0.0021782797379485317,1.0688428393252124e-07,7.323551300021308e-12,0.0012476162768685502,0.01856522303285731,1.7806011943270187e-05
0.00011479170424867592,0.0005844971931185856,7.1988963427845446e-09,2.9564334083020868e-05,5.878950067225596e-09,3.2645155182680995e-10,0.00013194593443022784,4.4411839178282965e-08,0.00533614798777932,0.006826833972848294,0.0003232924627041469,0.00033358713655637736,2.316233741367739e-05,4.303645308219473e-07,1.1601714610793465e-05,0.01572077278416899,0.002738605089560556,0.0019342079800468972,5.726857828234947e-07,2.595449060996255e-07,7.210997240027612e-09,1.6490476499649583e-10,7.15455083603837e-08,5.632693522916822e-05,0.0022684728485414434,1.1354092163649895e-07,7.921708121224775e-12,0.0012835277863327346,0.019054030728578156,1.864066610481095e-05
0.00011987873494925097,0.0006152514810185206,7.657629504926262e-09,3.0822018022268144e-05,6.252613544944483e-09,3.501530203745122e-10,0.00013574473205623877,4.8025275607398016e-08,0.00557854300104745,0.00703111924064882,0.0003308525570720266,0.00034193224002834055,2.425318788374291e-05,4.650940658302849e-07,1.2401427319538014e-05,0.016050398287302408,0.002817489462159717,0.001979849183590524,5.961056019211209e-07,2.738122036566879e-07,7.642624610148641e-09,1.7833925952912825e-10,7.583110292229622e-08,6.007995877046467e-05,0.0023623916227980472,1.2061212749350461e-07,8.568719871968823e-12,0.0013204716095621533,0.01955545190785776,1.9514443792532992e-05
0.00012519117079964697,0.0006476229081252711,8.145594385697371e-09,3.213320284733944e-05,6.65002690862187e-09,3.7557529437699997e-10,0.00013965288392562287,5.193270846608583e-08,0.005831884271797543,0.007241472942069763,0.0003385893820324776,0.0003504860336087424,2.5395411602833326e-05,5.02626201678783e-07,1.3256263944011136e-05,0.016386820152137414,0.002898639461606206,0.0020265651886672543,6.204831671383271e-07,2.8886378060432175e-07,8.100087822238127e-09,1.92868238161819e-10,8.037340569264632e-08,6.408302756936364e-05,0.0024601892118900417,1.2812372035058933e-07,9.268576817106664e-12,0.0013584773416913953,0.020069798392820287,2.04291788068632e-05
0.00013073899689270373,0.0006816963945191094,8.664653709291763e-09,3.350016429446081e-05,7.072699690521288e-09,4.0284331003410904e-10,0.00014367353707653307,5.61580578904701e-08,0.006096660124971121,0.007458072638127146,0.0003465070661428598,0.00035925373240604675,2.659142785166013e-05,5.431871021572251e-07,1.4170024052120514e-05,0.016730173637369786,0.0029821197727686235,0.002074381201294528,6.458576451511735e-07,3.04742749087269e-07,8.584933327622607e-09,2.0858086654511788e-10,8.518779355611464e-08,6.835279868875875e-05,0.0025620249994600685,1.3610312702328027e-07,1.0025595129516538e-11,0.0013975754216509612,0.020597388986705188,2.138679089521107e-05
0.0001365326404134859,0.0007175613074207837,9.216788897724191e-09,3.4925274888553375e-05,7.52223736810748e-09,4.3209107432933994e-10,0.00014780992906167283,6.07271902062398e-08,0.006373380113921448,0.007681100921017237,0.00035460983427263473,0.000368240681665022,2.7843769828124744e-05,5.87021181941413e-07,1.5146769092607607e-05,0.017080596487398063,0.0030679969047615026,0.002123323013631415,6.722698043384221e-07,3.214945911388325e-07,9.098800143283132e-09,2.2557357449469894e-10,9.02905644762343e-08,7.290703851779545e-05,0.002668064849912865,1.4457948243792433e-07,1.0844443508896303e-11,0.001437797155952798,0.02113854959096148,2.238928977947735e-05
0.00014258299019203046,0.0007553116927610023,9.804107634575858e-09,3.6411008058597634e-05,8.000347462280804e-09,4.634623235989177e-10,0.00015206539054861418,6.56680762744056e-08,0.006662575891497881,0.007910745546674581,0.00036290200984381973,0.0003774523600046114,2.915509001019221e-05,6.343925793901003e-07,1.61908404427627e-05,0.017438228969194773,0.0031563392410742562,0.0021734170173706054,6.997620802820731e-07,3.3916728895409383e-07,9.643425392540524e-09,2.4395064778982755e-10,9.569899266818168e-08,7.776469660888757e-05,0.0027784813661446074,1.5358373601076725e-07,1.173017197466928e-11,0.0014791747431303647,0.021693613322074028,2.343877937222847e-05
0.0001489014171189644,0.0007950465186652638,1.0428851910721891e-08,3.7959942427882167e-05,8.508846023211978e-09,4.971112299151546e-10,0.00015644334799464174,7.101096272036168e-08,0.006964802112005303,0.008147199570204499,0.0003713880171232547,0.0003868943827358771,3.052816577112058e-05,6.855867481914801e-07,1.7306878699608982e-05,0.017803213909331702,0.003247217091000075,0.002224690217424919,7.283786439464517e-07,3.57811462324232e-07,1.022065017738786e-08,2.638248681845751e-10,1.0143138707642402e-07,8.294598442357879e-05,0.002893454157030145,1.6314876465217023e-07,1.268824301057299e-11,0.0015217412988503271,0.022262920627960214,2.453746219036897e-05
0.00015549979546190118,0.000836869931451703,1.1093406582754496e-08,3.9574766286557866e-05,9.049664528414062e-09,5.332031587556003e-10,0.00016094732639824655,7.678855709445957e-08,0.007280637364658288,0.008390661484212513,0.000380072383567874,0.00039657250526197905,3.19659052589084e-05,7.409121774498587e-07,1.8499844300187154e-05,0.018175696731138936,0.0033407027423939333,0.0022771702459143265,7.581654726454238e-07,3.774805136255911e-07,1.0832425802322598e-08,2.8531820555959846e-10,1.0750715335518115e-07,8.847245931281096e-05,0.0030131701149954146,1.7330949280858177e-07,1.3724565253006835e-11,0.0015655308817133274,0.022846819403766514,2.568764397555561e-05
0.00016239052512217488,0.0008808915247678158,1.180030847677185e-08,4.1258282254238e-05,9.624857219252635e-09,5.719154816814947e-10,0.0001655809521294558,8.30362280975887e-08,0.007610685139109576,0.008641335360049868,0.0003889597422241923,0.00040649262656219324,3.3471353552383156e-05,8.007022505769023e-07,1.977503956246203e-05,0.01855582549197664,0.0034368705157890728,0.0023308853764594586,7.891704239117183e-07,3.982307807787805e-07,1.1480820370717098e-08,3.085625664622892e-10,1.1394685956152683e-07,9.436711407863623e-05,0.0031378237040093505,1.841030199805527e-07,1.484552993090262e-11,0.0016105785197616939,0.023445665106882334,2.68917385310309e-05
0.0001695865548731815,0.0009272266225213757,1.2552256072284514e-08,4.3013412140705654e-05,1.0236608903760928e-08,6.134384480193616e-10,0.00017034795584124334,8.979222209746887e-08,0.007955574823585285,0.008899430991991418,0.0003980548341832366,0.000416660792762009,3.504769910693077e-05,8.653172541882286e-07,2.113813224466671e-05,0.018943750920596438,0.0035357968199017753,0.0023858645387877,8.214433123870381e-07,4.201216986158948e-07,1.216802577602665e-08,3.337006036291152e-10,1.2077230578350324e-07,0.00010065447248729303,0.003267617258336549,1.955687561823941e-07,1.6058050281849292e-11,0.001656920237712343,0.02405982087097818,2.81522727850033e-05
0.0001771014066234053,0.0009759965762915156,1.3352119803206739e-08,4.4843202013138304e-05,1.088724325539863e-08,6.579761198296037e-10,0.00017525217546433702,9.709789726110436e-08,0.008315962736104446,0.009165164044358663,0.00040736251109219795,0.00042708320079141765,3.669828050348337e-05,9.351465491099018e-07,2.259518072762955e-05,0.019339626454569162,0.003637560208554547,0.002442137333658115,8.550359898565064e-07,4.4321596911806386e-07,1.2896365111468959e-08,3.60886591458323e-10,1.2800659793896965e-07,0.00010736069112795066,0.0034027612923989417,2.0774856583807076e-07,1.736960418756142e-11,0.0017045930849335254,0.024689657618863402,2.9471892091178007e-05
0.0001849492007490599,0.0010273290779376602,1.420295301525436e-08,4.675082747861067e-05,1.1579231639275742e-08,7.057473747569105e-10,0.00018029755928779126,1.0499797673667024e-07,0.008692533189195856,0.009438756201596956,0.0004168877377240874,0.00043776620213353124,3.842659351501368e-05,1.010610916576102e-06,2.4152660931814576e-05,0.019743608277753212,0.003742241439048168,0.0024997340481114393,8.900024285560069e-07,4.6757974101090584e-07,1.3668300523223528e-08,3.9028737280580323e-10,1.3567422599500158e-07,0.00011451366803737899,0.003543474822100764,2.206869206387168e-07,1.878828029163282e-11,0.0017536351641845112,0.025335554173946496,3.0853365777534134e-05
0.00019314468254324034,0.0010813584881570822,1.5108003621577694e-08,4.8739599191007855e-05,1.2315202499367556e-08,7.56986981690969e-10,0.0001854881691277728,1.1354082243472334e-07,0.009085999588451745,0.009720435321311725,0.00042663559460672835,0.00044871630666573636,4.0236298505458625e-05,1.0921650937547487e-06,2.581749508849086e-05,0.020155855357777207,0.0038499235320132758,0.0025586856710515743,9.263988078862733e-07,4.93282799232305e-07,1.4486441533698299e-08,4.2208338291472083e-10,1.4380114687263725e-07,0.00012214315853845844,0.0036899856979774907,2.3443106191990168e-07,2.0322827883994363e-11,0.0018040856611376695,0.025997897370068888,3.2299592954965216e-05
0.0002017032498304963,0.0011382261817760447,1.6070726501122143e-08,5.081296859187032e-05,1.3097951342376046e-08,8.119467545236672e-10,0.00019082818358706898,1.227787310847358e-07,0.009497105565172644,0.010010435590264195,0.0004366112807124229,0.0004599401865956266,4.2131228176689606e-05,1.1803005138785381e-06,2.7597082492651223e-05,0.020576529483508608,0.003960691832772445,0.0026190239091650022,9.64283604673017e-07,5.203987648151389e-07,1.535355386299985e-08,4.564697567628396e-10,1.5241487231761397e-07,0.00013028089876987908,0.0038425309505346734,2.490311731514946e-07,2.1982710859723567e-11,0.001855984874702846,0.026677082159469206,3.381360859794026e-05
0.00021064098179787038,0.0011980809105950428,1.7094796687046075e-08,5.297453389509015e-05,1.3930451356161265e-08,8.70896789672956e-10,0.00019632190140789896,1.3276825437929366e-07,0.0099266261432622,0.010308997683322397,0.00044682011620968555,0.0004714446804940273,4.411539567988263e-05,1.2755482674915925e-06,2.9499332374074383e-05,0.02100579530247897,0.0040746340742440715,0.002680781203184728,1.0037176871181168e-06,5.490053057575096e-07,1.6272568778429447e-08,4.936575266234562e-10,1.6154456203456628e-07,0.00013896073741574108,0.004001357148147961,2.6454056316994635e-07,2.3778166084983068e-11,0.0019093742481743924,0.027373511718622946,3.539858990991204e-05
0.0002199746690956345,0.0012610791846453244,1.8184123395539345e-08,5.522804632580269e-05,1.4815864703075242e-08,9.341267934550306e-10,0.0002019737449206874,1.4357054516577594e-07,0.010375368940420892,0.010616368925357968,0.0004572675452784487,0.0004832367974274651,4.619300310840512e-05,1.3784823026540138e-06,3.153269903229424e-05,0.021443820358234444,0.004191840441419333,0.002743990744505381,1.0447644125928087e-06,5.791843594844007e-07,1.724659300360916e-08,5.338749171894477e-10,1.7122112239995923e-07,0.0001482187761771327,0.00416672076789989,2.8101586082198663e-07,2.5720266530042788e-11,0.001964296401221549,0.028087597551687153,3.705786298679186e-05
0.00022972184526327398,0.0013273856727519424,1.9342864948596647e-08,5.757741662425033e-05,1.5757554531095072e-08,1.0019475058281652e-09,0.00020778826359152267,1.552517318047732e-07,0.010844175403565318,0.010932803456073689,0.00046795913899018676,0.0004953237211925002,4.836845039014003e-05,1.4897228833863737e-06,3.3706219391254274e-05,0.02189077512757913,0.004312403637443979,0.0028086864921562033,1.0874897294299712e-06,6.110223675379547e-07,1.8278919220737125e-08,5.773687462087729e-10,1.8147731108792193e-07,0.0001580935195632962,0.004338888579732964,2.985172217304236e-07,2.782098955874146e-11,0.0020207951627434096,0.028819759591266425,3.8794909792434364e-05
0.0002399008195386459,0.001397173623337697,2.0575444647708588e-08,6.00267218258527e-05,1.6759097748377447e-08,1.0746922275050518e-09,0.0002137701376711108,1.67883322986916e-07,0.011333922078260826,0.011258562397740616,0.00047890059825442456,0.0005077128146543828,5.064634459800386e-05,1.6099403271917404e-06,3.6029553140122e-05,0.02234683305767635,0.0044364189513365114,0.0028749031901387587,1.1319622828790316e-06,6.446105231685332e-07,1.937303720147311e-08,6.244059392271762e-10,1.923478479631624e-07,0.00016862603461780803,0.004518138044301343,3.171085479369821e-07,3.009329079554375e-11,0.0020789156046100237,0.029570426296200623,4.0613375460721635e-05
0.0002505307111107534,0.001470625306442939,2.1886567659067658e-08,6.258021232919275e-05,1.782429860975844e-08,1.1527184579385967e-09,0.00021992418194810746,1.8154264548626527e-07,0.011845521911801764,0.011593914025817588,0.0004900977568331517,0.0005204116241925755,5.303150969829964e-05,1.7398590441744123e-06,3.85130256381708e-05,0.022812170602972297,0.004563984327374735,0.0029426763851362857,1.1782535253937391e-06,6.8004503253573e-07,2.0532645604084382e-08,6.75275167734311e-10,2.0386953261636286e-07,0.00017986012123543714,0.00470475772490601,3.36857721224136e-07,3.255118402574739e-11,0.0021387040763117095,0.030340034746060462,4.251707593952324e-05
0.00026163148487915507,0.0015479324779777567,2.3281238974744103e-08,6.524231926412208e-05,1.8957203166804343e-08,1.236409652230934e-09,0.0002262553496097914,1.9631331753001295e-07,0.012379925589400547,0.011939133942418365,0.0005015565844246663,0.0005334278842557192,5.552899675745872e-05,1.8802619020911129e-06,4.116767377384729e-05,0.023286967261903855,0.004695200436182467,0.0030120424446016636,1.2264378314299551e-06,7.174273902674178e-07,2.1761664476729752e-08,7.302886207666388e-10,2.160813689399289e-07,0.00019184249376816894,0.004899047713899104,3.5783685096782735e-07,3.52098276216026e-11,0.0022002082405390665,0.031129030732020394,4.4510005992515816e-05
0.0002732239887857616,0.0016292968672659556,2.476478251839626e-08,6.801766217270187e-05,2.0162114636301575e-08,1.326177105599855e-09,0.0002327687362131329,2.1228576068227713e-07,0.012938122902755912,0.01229450525258485,0.0005132831898184356,0.0005467695220286978,5.8144094628690007e-05,2.0319949436341775e-06,4.40052949811881e-05,0.023771405613350987,0.004830170747548412,0.0030830385752311108,1.2765926169379089e-06,7.568646701660918e-07,2.3064248509150893e-08,7.897839208396393e-10,2.2902469716581929e-07,0.00020462297466443288,0.0051013200739433604,3.801225374260357e-07,3.808561802735346e-11,0.0022634771097165734,0.03193786884376272,4.6596347575593706e-05
0.0002853299927875635,0.0017149306889841923,2.634286146844674e-08,7.091105701623777e-05,2.1443609745559414e-08,1.4224619746637588e-09,0.000239469583769384,2.295577533755385e-07,0.013521144150058033,0.01266031874331625,0.000525283824122568,0.0005604446622144992,6.0882341141063875e-05,2.1959724843677605e-06,4.703849963068701e-05,0.02426567135279193,0.0049690016050089525,0.0031557028418306874,1.3287984637408482e-06,7.984698318951031e-07,2.4444801077565905e-08,8.541261959675703e-10,2.427433338124138e-07,0.00021825470093401211,0.005311899294511375,4.0379615142447316e-07,4.119629087974242e-11,0.002328561083513117,0.03276701255204893,4.878047860538294e-05
0.00029797222954179917,0.0018050571806447176,2.802149987630619e-08,7.392752452221936e-05,2.2806556116613052e-08,1.5257374454786318e-09,0.00024636328494541615,2.482350294782154e-07,0.014130061566254484,0.013036873065296342,0.0005375648840655521,0.0005744616319336604,6.374953481460633e-05,2.3731826220315146e-06,5.028076702660398e-05,0.024769953328117912,0.005111802302226752,0.003230074186582952,1.383139248999926e-06,8.423620445231797e-07,2.5907989130246545e-08,9.237103204869207e-10,2.5728372001418286e-07,0.00023279434428266085,0.005531122764007012,4.289441314606225e-07,4.45610303876128e-11,0.002395511987353291,0.033616934286578956,5.106698213818456e-05
0.0003111744368781054,0.0018999111668161824,2.980710566216775e-08,7.707229888556626e-05,2.425613075535806e-08,1.6365110589817183e-09,0.000253455387385115,2.684319255625585e-07,0.014765990782142031,0.01342447491725105,0.0005501329153739362,0.0005888289657441268,6.6751747126089e-05,2.564693190403767e-06,5.374650525860866e-05,0.02528444357506186,0.005258685161196822,0.003306192448721007,1.4397022799733246e-06,8.886670278539081e-07,2.7458758964097407e-08,9.989633384357823e-10,2.726950787362776e-07,0.0002483023458152188,0.0057593412578870115,4.5565829931084485e-07,4.8200587645176575e-11,0.002464383111953649,0.03448811550873975,5.346065597853091e-05
0.00032496140213538816,0.0019997396513238984,3.170649507615357e-08,8.035083683917855e-05,2.579783971584558e-08,1.7553272052700857e-09,0.00026075159815423587,2.9027208083515124e-07,0.015430092310565096,0.013823439232859468,0.0005629946162276561,0.0006035554107844211,6.989533535134288e-05,2.77165819359422e-06,5.745111517263772e-05,0.02580933735219305,0.005409765612311394,0.003384098384617322,1.4985784342860308e-06,9.375174125177316e-07,2.9102352945569353e-08,1.0803470843614714e-09,2.89029581406231e-07,0.0002648431662642424,0.005996919443155187,4.840361952929074e-07,5.2137408608610056e-11,0.0025352292539085556,0.03538104677882702,5.596652273742742e-05
0.00033935900844446574,0.0021048024387188033,3.372691871819141e-08,8.376882710943342e-05,2.743753901442968e-08,1.8827697989721495e-09,0.0002682577883122163,3.1388919401470126e-07,0.016123573057690712,0.014234089370130903,0.000576156840794781,0.0006186499320431078,7.31869560111451e-05,2.995324759529985e-06,6.141105874399293e-05,0.02634483317542862,0.005565162276314909,0.0034638336882948494,1.5598623059356862e-06,9.890531198578416e-07,3.0844327232434566e-08,1.1683610176407164e-09,3.0634252452686696e-07,0.00028248555276308207,0.0062442363995940985,5.141814344080013e-07,5.639577252524062e-11,0.002608106757350805,0.036296227817306494,5.858984036129288e-05
0.00035439428304097614,0.0022153727863527053,3.587608921594606e-08,8.733220027292163e-05,2.918145687320828e-08,2.0194651488600313e-09,0.00027597999761454716,3.3942784179037403e-07,0.016847687856987988,0.014656757303149637,0.0005896266028474514,0.0006341217177575737,7.663357894897619e-05,3.237040654525909e-06,6.564393215508234e-05,0.026891132852009593,0.0057249970481798714,0.0035454410123678783,1.6236523572690061e-06,1.043421762697949e-06,3.2690570556328255e-08,1.263545287706744e-09,3.2469251686826774e-07,0.00030130282324805635,0.006501686158089096,5.462040846625651e-07,6.100194166904424e-11,0.0026830735567124455,0.037234167559660976,6.13361131535858e-05
0.00037009544769663576,0.002331738088446426,3.816221066646174e-08,9.104713903140245e-05,3.103621737724688e-08,2.1660850358053367e-09,0.00028392443934939065,3.670443638709044e-07,0.01760374102316846,0.015091783816077247,0.0006034110794608491,0.0006499801849452488,8.024250207027862e-05,3.498262404209446e-06,7.016854390090307e-05,0.02744844151388753,0.00588939518293412,0.0036289639894202994,1.69005107717295e-06,1.1007790681397712e-06,3.464732412955382e-08,1.3664840489949432e-09,3.441416778724903e-07,0.00032137316964423764,0.006769678256388011,5.802210689512238e-07,6.5984323305911e-11,0.00276018922061184,0.03819538420435115,6.421110331212775e-05
0.00038649197136065737,0.0024542005935866704,4.0594009953903596e-08,9.492008892267764e-05,3.300886563544151e-08,2.3233500142047126e-09,0.0002920975053122489,3.9690782004231793e-07,0.018393087922937094,0.015539518699289889,0.0006175176147970603,0.0006662349850704317,8.402136677422061e-05,3.78056406972224e-06,7.5004998267464e-05,0.028016967650465078,0.006058485383469279,0.003714447253828856,1.759165145734719e-06,1.161289323601108e-06,3.672120274344296e-08,1.477809045951134e-09,3.6475584794264477e-07,0.0003427799810634931,0.0070486383126248,6.163565919681109e-07,7.137364488754697e-11,0.0028395149968932637,0.03918040525339843,6.722084300620774e-05
